iter	Passed	Remaining
0	49	9818
1	106	10587
2	163	10768
3	221	10855
4	277	10819
5	326	10563
6	374	10315
7	420	10085
8	471	10014
9	522	9924
10	570	9801
11	619	9698
12	666	9593
13	714	9492
14	761	9395
15	823	9474
16	871	9382
17	921	9318
18	970	9243
19	1020	9187
20	1068	9107
21	1115	9028
22	1161	8942
23	1210	8880
24	1259	8815
25	1310	8769
26	1364	8739
27	1422	8739
28	1483	8749
29	1537	8710
30	1589	8665
31	1637	8595
32	1686	8533
33	1731	8455
34	1781	8396
35	1838	8376
36	1891	8334
37	1942	8281
38	1988	8209
39	2036	8146
40	2083	8079
41	2134	8028
42	2184	7975
43	2230	7909
44	2279	7851
45	2329	7798
46	2376	7736
47	2425	7681
48	2475	7627
49	2522	7566
50	2570	7509
51	2618	7453
52	2666	7396
53	2714	7340
54	2761	7279
55	2810	7227
56	2857	7169
57	2905	7113
58	2955	7064
59	3004	7010
60	3052	6955
61	3103	6908
62	3150	6851
63	3202	6806
64	3250	6751
65	3299	6699
66	3346	6643
67	3397	6595
68	3446	6543
69	3494	6489
70	3541	6434
71	3592	6386
72	3641	6335
73	3690	6284
74	3738	6230
75	3816	6227
76	3869	6180
77	3919	6130
78	3967	6077
79	4015	6022
80	4064	5970
81	4117	5925
82	4166	5873
83	4213	5818
84	4262	5766
85	4312	5716
86	4361	5664
87	4407	5610
88	4454	5555
89	4477	5472
90	4526	5422
91	4582	5379
92	4630	5328
93	4680	5277
94	4729	5227
95	4782	5180
96	4832	5131
97	4880	5079
98	4931	5031
99	4981	4981
100	5031	4932
101	5079	4880
102	5138	4839
103	5187	4788
104	5239	4740
105	5289	4690
106	5341	4642
107	5389	4590
108	5440	4542
109	5489	4491
110	5542	4444
111	5594	4395
112	5645	4346
113	5702	4301
114	5761	4258
115	5790	4193
116	5844	4146
117	5901	4101
118	5949	4049
119	5994	3996
120	6039	3943
121	6087	3892
122	6137	3842
123	6189	3793
124	6244	3746
125	6303	3701
126	6364	3658
127	6424	3613
128	6482	3567
129	6531	3516
130	6580	3466
131	6640	3420
132	6700	3375
133	6757	3328
134	6826	3286
135	6896	3245
136	6954	3198
137	7014	3151
138	7080	3107
139	7139	3059
140	7197	3011
141	7261	2966
142	7321	2918
143	7376	2868
144	7425	2816
145	7477	2765
146	7524	2712
147	7573	2661
148	7624	2609
149	7673	2557
150	7724	2506
151	7772	2454
152	7835	2406
153	7884	2355
154	7933	2303
155	7984	2251
156	8034	2200
157	8094	2151
158	8144	2100
159	8193	2048
160	8240	1996
161	8303	1947
162	8350	1895
163	8397	1843
164	8448	1792
165	8500	1741
166	8550	1689
167	8606	1639
168	8668	1590
169	8729	1540
170	8790	1490
171	8851	1440
172	8906	1390
173	8965	1339
174	9022	1288
175	9072	1237
176	9125	1185
177	9177	1134
178	9228	1082
179	9279	1031
180	9330	979
181	9378	927
182	9428	875
183	9480	824
184	9532	772
185	9580	721
186	9628	669
187	9677	617
188	9725	566
189	9773	514
190	9821	462
191	9872	411
192	9920	359
193	9972	308
194	10020	256
195	10069	205
196	10121	154
197	10175	102
198	10224	51
199	10276	0
